depth_m,gassiness_degree,open_violations,days_since_last_inspection,ch4_pct,co_ppm,ventilation_velocity_ms,workers_count,equipment_faults,risk_level
307,3,6,37,1.08,32,3.77,58,1,High
463,2,8,31,0.36,43,2.24,40,2,High
631,1,11,26,0.34,23,0.72,37,3,High
205,1,8,26,0.36,27,2.23,95,5,High
93,1,10,1,0.37,28,0.81,84,3,High
130,1,3,24,0.05,3,2.84,59,4,Medium
573,1,9,4,0.43,28,0.91,71,3,High
50,1,10,34,0.14,3,3.04,73,4,High
277,2,10,3,0.52,8,3.71,19,2,Medium
449,1,6,26,0.27,18,0.35,16,0,High
602,1,8,38,0.17,28,1.27,85,1,High
505,3,9,1,0.94,41,2.07,79,0,High
555,1,1,33,0.43,19,3.15,81,2,Medium
493,3,9,31,1.6,63,1.49,66,5,High
511,3,0,31,0.75,19,1.64,36,5,Medium
275,3,6,23,1.27,15,2.75,41,1,High
334,1,10,22,0.05,7,1.97,53,1,Medium
627,1,11,44,0.42,8,2.05,33,1,High
287,3,3,15,0.86,30,3.23,53,1,Medium
149,1,1,44,0.43,17,2.45,77,0,Low
533,1,5,32,0.41,20,3.34,70,1,Medium
563,1,3,37,0.08,18,3.1,69,4,High
73,1,6,44,0.35,16,3.72,74,3,High
363,2,0,44,0.39,45,0.65,54,4,High
305,1,4,16,0.14,21,1.5,31,3,Medium
474,1,11,24,0.18,14,1.28,31,4,High
174,3,10,15,1.66,61,1.24,38,4,High
482,3,3,10,1.64,62,0.82,9,1,High
471,1,10,34,0.25,12,3.05,46,2,High
615,3,0,26,0.73,25,0.51,40,3,High
138,1,5,17,0.18,19,2.25,40,2,Low
60,1,5,44,0.43,8,2.32,91,5,Medium
591,1,12,19,0.17,23,2.09,65,0,Medium
430,2,7,41,1.06,18,2.54,51,3,High
625,1,1,6,0.09,9,1.4,91,2,Low
313,2,6,18,1.0,31,2.92,74,3,High
463,1,0,9,0.33,23,1.18,18,1,Low
210,1,1,5,0.42,17,2.22,11,3,Low
576,2,1,7,0.44,17,0.6,57,2,Low
274,1,4,29,0.29,6,2.14,29,0,Medium
75,2,5,31,0.62,42,3.57,78,3,High
178,3,11,35,0.83,53,1.9,89,4,High
485,1,10,35,0.15,13,1.99,37,0,High
492,1,6,17,0.09,2,0.3,25,2,High
333,1,0,45,0.42,26,1.97,9,3,High
339,2,12,1,0.69,20,1.74,79,3,Medium
444,1,11,42,0.19,14,1.07,18,3,High
285,1,12,40,0.37,23,1.25,91,5,High
584,3,6,13,1.71,26,0.78,22,5,High
506,2,4,45,0.76,20,1.42,27,0,Medium
587,1,1,19,0.14,24,1.83,9,1,Low
132,1,7,14,0.17,11,3.05,71,2,Medium
514,2,0,22,0.27,17,0.5,58,0,Low
596,1,3,17,0.37,28,0.34,39,3,High
493,1,0,13,0.22,26,0.63,93,1,Medium
524,1,4,21,0.09,25,0.45,78,4,High
165,1,10,20,0.11,3,3.32,35,0,Medium
281,2,5,1,0.35,25,2.35,58,1,Medium
49,3,9,45,1.22,53,0.84,19,1,High
201,1,10,40,0.17,26,2.49,15,2,High
197,2,12,7,0.31,22,1.41,79,5,Medium
395,3,7,13,0.63,39,1.55,25,2,Medium
80,1,7,36,0.15,24,2.02,80,1,Medium
596,1,11,30,0.14,28,2.4,78,1,High
110,1,7,19,0.37,19,1.58,8,5,Medium
558,1,2,2,0.29,13,3.02,38,2,Low
104,2,8,25,0.37,39,2.98,27,4,High
329,1,10,21,0.07,18,2.61,13,1,Medium
222,3,3,7,1.23,21,0.41,90,3,High
541,1,11,38,0.13,13,1.07,17,0,High
253,2,1,30,0.92,11,1.56,61,2,Medium
99,3,4,34,0.65,19,3.22,17,1,Medium
571,1,11,15,0.25,8,0.98,92,1,Medium
623,2,2,36,0.87,34,2.91,89,4,High
406,2,11,43,0.58,14,0.88,31,4,High
451,1,10,11,0.25,21,1.85,53,2,Medium
603,3,5,24,1.14,55,1.81,49,4,High
286,2,3,25,0.89,24,1.56,65,3,Medium
446,1,0,19,0.28,18,0.77,46,0,Low
347,3,3,21,0.63,67,3.6,43,4,High
563,2,9,10,0.28,37,1.54,25,2,High
415,3,3,15,0.93,34,0.62,59,4,High
262,2,11,21,0.91,19,2.01,81,0,Medium
649,2,0,37,0.54,11,3.53,50,2,Medium
484,1,1,15,0.34,21,3.55,89,5,Medium
431,1,8,3,0.16,20,0.82,72,5,High
266,1,10,26,0.44,26,2.38,72,0,High
267,1,12,26,0.08,12,0.59,81,5,High
90,1,4,6,0.19,15,3.01,24,1,Low
532,2,7,26,0.79,20,2.26,75,1,High
288,1,12,28,0.16,20,0.61,93,3,High
473,1,3,21,0.17,22,0.38,47,1,Medium
398,2,12,29,0.76,36,0.46,37,1,High
422,1,11,6,0.07,3,1.15,87,1,Medium
334,1,11,8,0.15,17,0.38,34,5,High
590,1,8,34,0.34,19,1.99,26,5,High
58,1,10,34,0.04,7,0.51,33,5,High
317,1,10,1,0.05,23,1.25,92,2,Medium
150,1,10,25,0.12,14,2.08,20,2,Medium
536,3,8,6,0.84,47,3.68,79,5,High
62,1,8,20,0.16,14,2.91,10,2,Medium
400,1,4,16,0.45,18,1.27,15,5,Medium
303,3,0,36,1.83,29,0.83,58,5,High
180,1,6,34,0.43,21,3.35,95,1,Medium
467,1,2,28,0.44,21,1.45,77,1,Medium
251,2,9,35,0.82,20,3.32,47,5,High
576,3,6,10,1.45,51,3.51,48,0,High
610,1,11,8,0.1,28,3.38,11,2,High
463,3,4,29,1.57,67,3.43,43,1,High
232,1,2,2,0.35,21,2.46,85,4,Low
276,2,3,44,0.22,13,2.71,69,1,Medium
554,3,7,42,1.09,69,1.66,68,1,High
207,1,0,27,0.35,2,3.54,60,1,Low
247,2,1,12,1.03,36,3.33,70,5,High
372,3,3,28,1.13,17,2.43,56,5,High
360,1,11,37,0.28,18,2.54,12,4,High
151,1,0,16,0.24,14,3.74,13,4,Low
436,1,10,4,0.1,16,1.69,46,2,Medium
512,1,4,40,0.42,24,2.11,26,3,High
502,1,8,8,0.1,20,3.58,77,1,Medium
442,1,7,2,0.1,20,3.44,33,3,High
132,1,11,42,0.41,27,0.87,23,0,High
156,2,10,24,0.28,32,2.84,73,4,High
203,1,6,3,0.35,12,2.28,92,1,Medium
206,3,2,4,1.15,34,2.86,65,2,Medium
225,1,2,13,0.02,26,1.19,66,3,Medium
550,1,0,39,0.4,9,1.06,92,3,Medium
504,1,1,39,0.28,9,3.39,43,4,Medium
610,3,3,4,0.84,18,2.59,12,1,Medium
73,2,9,20,0.5,13,0.47,61,1,High
205,2,9,43,0.82,44,3.06,30,3,High
632,1,0,6,0.35,12,1.59,56,0,Low
477,3,1,19,1.21,22,2.73,43,2,Medium
579,1,3,45,0.11,3,0.68,88,4,High
129,1,11,39,0.42,24,1.31,85,2,Medium
305,1,9,23,0.42,21,2.27,74,5,Medium
549,1,2,40,0.12,11,3.73,8,0,Medium
64,1,12,8,0.34,8,3.1,61,3,Medium
86,1,8,41,0.11,22,1.0,44,2,Medium
109,1,8,36,0.16,2,0.7,50,2,High
445,2,9,2,0.95,20,1.46,51,5,High
530,3,12,3,1.44,45,0.84,66,4,High
383,1,6,4,0.38,11,2.28,94,2,Medium
608,1,3,37,0.31,27,3.51,53,0,High
192,1,0,22,0.44,22,2.17,29,4,Low
438,1,1,20,0.32,12,2.78,42,3,Medium
128,1,3,24,0.21,11,1.06,46,1,Low
154,1,0,13,0.41,16,2.07,69,4,Low
197,1,7,34,0.15,12,0.8,20,4,High
175,1,0,30,0.19,18,0.71,47,0,Medium
648,3,5,30,1.76,21,2.12,92,5,High
359,1,12,20,0.29,8,1.42,32,2,Medium
323,1,12,29,0.31,10,0.82,43,0,Medium
55,3,8,33,0.73,49,1.53,48,2,High
184,3,12,19,1.35,25,0.55,86,2,High
593,1,2,2,0.22,23,0.48,57,0,Medium
128,1,2,39,0.4,22,3.23,65,4,Medium
404,1,3,43,0.37,4,3.71,67,4,High
174,1,12,45,0.22,16,1.39,90,5,High
516,1,3,10,0.39,21,1.2,54,3,Medium
227,2,10,22,0.91,28,1.89,11,0,High
526,1,7,30,0.38,11,2.99,85,4,High
170,1,6,7,0.16,22,0.55,46,4,High
512,1,6,16,0.29,19,0.86,69,3,High
107,1,11,38,0.21,15,2.29,51,4,High
281,1,10,5,0.34,24,2.31,70,0,Medium
646,2,5,36,0.29,36,0.92,59,0,High
151,2,9,25,0.49,11,0.62,25,4,High
40,2,10,10,0.61,26,1.66,81,3,High
240,1,5,20,0.27,23,1.37,63,5,Medium
392,3,9,1,1.39,47,1.71,24,2,High
103,1,8,4,0.02,19,3.17,53,0,Medium
328,3,3,28,1.51,40,2.49,56,3,High
430,1,3,43,0.09,6,0.96,57,2,Medium
467,1,10,9,0.08,4,2.57,26,5,High
538,2,2,6,0.32,34,3.31,85,3,Medium
224,1,6,36,0.37,14,1.54,31,3,High
47,2,11,16,0.84,25,1.74,77,4,High
415,1,0,37,0.23,13,0.7,69,5,High
121,1,11,34,0.44,26,3.03,67,4,High
120,1,9,6,0.13,22,2.9,93,0,Medium
592,2,4,40,0.25,29,2.17,9,3,High
504,1,7,37,0.34,15,1.54,45,2,High
211,1,9,20,0.33,20,1.21,88,3,Medium
632,1,0,43,0.45,27,2.88,11,2,Medium
536,1,8,5,0.39,10,1.18,86,2,Medium
321,3,0,8,1.38,73,2.37,27,5,High
497,1,2,17,0.36,9,2.0,75,0,Low
391,3,2,39,1.81,24,3.23,60,3,High
283,2,11,41,0.35,44,2.87,52,0,High
310,2,1,4,0.35,33,1.97,68,5,Medium
585,1,10,25,0.22,6,2.16,63,0,Medium
335,3,7,25,1.48,48,2.69,13,0,High
584,2,6,40,1.03,25,1.47,42,0,High
301,2,6,30,0.9,23,2.87,83,1,High
572,1,11,12,0.15,2,2.65,16,0,Medium
461,1,1,44,0.21,9,2.84,40,1,Medium
74,1,1,4,0.42,23,3.43,35,4,Low
164,2,1,6,0.97,16,1.62,90,4,Medium
229,3,11,12,0.93,44,2.61,17,5,High
504,3,4,28,1.5,57,2.99,49,2,High
205,2,4,4,0.54,29,3.79,41,2,Medium
222,1,7,13,0.28,7,2.56,21,1,Medium
593,2,3,40,0.78,36,2.8,21,0,High
114,1,11,17,0.35,2,3.44,27,5,Medium
40,3,10,25,0.95,59,1.45,58,4,High
43,1,12,32,0.23,14,3.25,16,4,High
271,1,11,31,0.07,19,3.57,53,2,Medium
350,1,10,42,0.06,19,3.29,51,0,Medium
510,2,4,42,0.38,43,0.44,57,5,High
235,1,6,7,0.29,13,2.0,88,3,Medium
234,1,3,2,0.33,20,1.13,57,0,Low
593,2,7,35,1.07,36,3.68,10,0,High
387,1,12,3,0.19,8,3.12,93,4,Medium
509,3,8,10,1.56,29,3.54,12,5,High
184,1,0,31,0.41,21,0.46,91,1,Medium
54,1,0,20,0.37,5,1.9,29,4,Low
105,3,1,8,1.25,66,2.45,16,1,High
476,1,11,44,0.19,5,3.72,81,4,High
180,1,12,14,0.35,20,0.91,16,0,Medium
320,1,6,11,0.32,19,0.88,39,4,Medium
81,1,12,41,0.28,26,0.85,70,0,High
46,1,1,42,0.28,11,1.76,68,5,Medium
169,1,10,18,0.24,15,1.14,30,4,Medium
78,2,11,32,0.75,13,2.5,46,2,Medium
468,1,3,13,0.07,18,3.72,87,2,Low
592,1,7,41,0.3,10,0.49,22,1,High
525,1,2,43,0.42,3,2.56,44,1,Medium
485,1,9,30,0.04,25,0.48,76,1,High
201,2,7,33,0.3,23,2.82,83,4,High
373,1,11,44,0.41,9,3.03,49,1,Medium
140,1,6,13,0.18,9,0.56,82,3,High
95,3,2,14,1.81,44,0.92,55,1,High
508,2,10,23,1.08,20,1.48,12,5,High
622,1,2,8,0.39,16,1.76,51,1,Low
342,2,12,41,1.06,18,2.32,78,1,High
128,1,8,32,0.39,8,2.37,67,2,Medium
54,2,11,16,0.42,35,2.33,83,1,Medium
627,3,6,3,0.65,45,2.87,72,0,High
475,1,7,45,0.37,16,2.03,18,4,High
52,2,6,14,0.32,26,1.14,19,0,Medium
531,2,2,30,0.97,45,0.39,66,3,High
181,3,6,12,1.63,38,2.49,89,0,High
112,1,11,22,0.25,11,1.79,42,5,Medium
595,2,3,44,0.27,29,2.88,15,4,High
412,3,1,25,1.08,54,0.44,54,1,High
612,2,8,14,0.32,29,1.14,22,5,High
529,2,12,38,0.98,21,2.94,36,2,High
401,3,8,44,1.15,18,0.52,52,3,High
537,1,1,31,0.33,23,3.19,45,3,Medium
416,2,11,5,0.37,37,0.61,58,1,High
335,3,1,7,0.81,22,2.74,71,1,Low
249,1,10,2,0.15,23,2.2,24,3,Medium
395,1,11,42,0.03,8,0.52,37,4,High
383,1,5,42,0.3,12,2.0,93,5,Medium
582,3,7,30,1.0,23,3.44,47,1,High
306,1,5,19,0.35,3,0.82,44,3,Medium
210,2,2,35,0.46,19,3.24,93,1,Low
205,1,0,21,0.27,16,1.21,31,1,Low
615,2,10,21,1.08,17,1.61,77,1,High
586,1,0,26,0.42,26,0.81,66,2,Medium
199,1,11,35,0.44,12,2.57,45,3,High
336,3,12,37,1.47,66,2.28,64,2,High
155,2,0,9,0.81,15,1.38,59,4,Medium
265,1,1,21,0.04,22,0.98,75,1,Low
324,1,1,35,0.39,23,2.65,19,4,Medium
443,1,5,39,0.28,3,3.48,54,3,High
191,2,6,24,0.55,8,1.3,52,2,Medium
496,3,1,14,1.55,43,2.9,61,3,High
335,1,11,28,0.33,15,0.79,83,4,High
128,1,4,31,0.45,18,3.75,16,4,Medium
424,1,6,41,0.41,15,0.91,67,5,High
621,2,2,13,0.37,32,1.31,70,0,Medium
349,3,4,32,1.33,44,1.09,8,1,High
308,1,10,41,0.22,22,2.63,44,3,High
223,1,11,42,0.13,5,2.98,71,0,Medium
410,2,9,28,0.98,38,3.71,23,2,High
564,2,0,17,0.35,11,0.81,67,5,Medium
178,1,0,18,0.18,22,3.49,53,0,Low
336,1,10,5,0.24,26,2.5,20,4,High
211,1,5,44,0.36,10,2.7,54,0,Medium
587,2,2,1,0.32,26,1.61,70,3,Medium
388,3,2,7,0.88,47,1.07,32,4,High
578,3,11,36,1.51,66,0.7,66,0,High
159,3,0,31,1.05,59,1.57,64,4,High
575,2,5,12,0.84,9,2.91,23,1,Medium
171,3,2,45,0.89,23,1.03,18,3,High
154,1,12,31,0.35,3,0.99,12,5,High
565,2,7,8,1.02,10,0.53,93,0,High
138,2,9,14,0.73,20,0.95,52,0,Medium
132,1,11,18,0.43,13,1.53,72,5,Medium
287,1,1,7,0.37,26,0.35,35,5,High
236,3,2,35,0.61,61,0.65,35,4,High
526,1,9,12,0.21,5,0.93,53,3,High
474,1,3,27,0.07,12,0.73,22,4,High
179,1,5,19,0.26,3,0.59,71,0,Low
434,1,9,20,0.32,28,1.85,78,3,High
337,3,6,13,1.71,72,3.24,68,5,High
416,1,10,32,0.31,14,1.83,92,5,High
127,1,6,26,0.32,5,2.9,29,0,Medium
412,3,5,13,1.37,40,0.73,62,5,High
551,1,11,38,0.28,26,3.06,90,3,High
404,1,9,26,0.44,18,1.28,66,0,High
165,1,7,15,0.29,6,0.4,14,0,High
550,2,2,25,0.74,28,0.83,87,4,Medium
138,2,10,34,0.89,37,1.01,92,3,High
542,1,8,22,0.37,19,2.21,12,3,High
161,1,5,25,0.21,3,0.42,79,5,High
350,3,2,32,1.16,34,2.81,70,0,High
622,2,10,36,0.82,44,1.94,79,1,High
558,1,4,32,0.27,14,2.46,53,2,Medium
368,1,9,3,0.08,13,1.52,82,0,Medium
389,1,6,23,0.45,15,1.53,92,1,Medium
293,1,4,38,0.06,24,0.53,47,0,Medium
385,1,8,21,0.04,23,3.32,80,4,Medium
471,1,11,31,0.27,12,1.62,57,2,High
626,1,7,7,0.32,8,1.48,72,5,High
387,1,4,24,0.44,8,2.04,17,4,Medium
259,1,0,20,0.45,14,3.12,87,5,Low
134,2,9,7,0.73,25,0.54,75,3,High
477,1,12,5,0.3,11,2.07,46,3,High
592,1,6,26,0.13,18,1.89,78,1,High
59,2,8,12,0.72,21,2.61,67,2,Medium
585,3,12,28,1.82,61,2.49,74,1,High
413,1,3,10,0.34,26,1.35,63,3,High
366,3,1,41,0.86,41,1.23,44,5,High
204,1,9,16,0.19,5,0.82,11,1,Medium
357,1,8,28,0.2,3,1.01,42,1,Medium
69,1,12,18,0.3,7,2.56,13,5,Medium
537,2,0,6,0.48,27,3.34,60,2,Medium
132,1,11,9,0.12,20,2.87,23,4,Medium
634,3,8,17,1.25,20,1.13,23,2,High
377,3,11,25,1.65,62,1.13,62,1,High
187,1,3,18,0.21,10,3.32,15,3,Medium
586,1,1,21,0.25,17,2.69,43,1,Low
411,1,5,20,0.03,21,0.42,92,0,Medium
285,1,6,20,0.29,24,1.57,95,0,Medium
587,3,7,25,0.61,40,3.55,40,2,High
132,3,12,16,0.99,70,3.42,64,5,High
364,3,12,42,1.13,17,1.26,18,3,High
522,2,5,28,0.99,14,3.19,41,4,High
107,1,9,36,0.34,16,2.73,14,5,High
228,2,12,42,0.32,33,1.0,47,2,High
629,1,2,16,0.24,26,3.21,24,4,Medium
460,2,5,29,0.63,16,1.21,95,4,High
375,2,3,6,0.57,19,1.68,56,4,Medium
269,1,0,36,0.3,22,1.1,19,3,Medium
243,1,2,4,0.19,15,2.4,27,0,Low
416,1,9,8,0.03,18,1.82,66,5,High
546,1,11,14,0.1,28,3.04,44,5,High
546,1,6,14,0.28,28,1.29,94,1,High
468,1,12,10,0.03,10,1.12,65,1,Medium
418,2,10,30,0.28,38,0.77,49,5,High
447,2,11,25,0.84,24,0.56,79,0,High
93,1,3,31,0.41,21,3.59,84,5,Medium
86,1,8,40,0.18,14,2.65,24,4,High
82,2,4,11,0.65,29,3.37,24,0,Medium
364,2,6,10,0.43,28,0.45,24,3,High
327,2,6,19,1.01,24,2.45,41,4,High
360,1,2,21,0.34,17,2.97,27,4,Low
490,1,2,4,0.12,3,1.95,28,5,Medium
518,1,7,3,0.21,24,2.26,66,3,High
155,3,2,8,1.05,28,3.34,31,1,Medium
560,3,9,43,1.36,52,3.79,8,4,High
624,1,1,16,0.35,23,0.63,50,0,Low
331,2,10,8,0.55,45,3.55,21,2,High
197,1,7,43,0.23,22,3.64,84,5,High
45,1,0,42,0.29,16,1.44,80,1,Low
256,3,12,42,0.97,66,0.49,17,4,High
430,1,4,12,0.12,26,3.33,19,0,Medium
253,1,12,26,0.14,26,3.64,27,0,High
345,1,6,20,0.41,21,0.76,93,0,Medium
416,1,7,29,0.4,17,1.24,84,3,High
132,2,12,24,0.75,35,2.51,19,0,Medium
565,1,7,44,0.12,23,2.8,71,4,High
577,1,7,28,0.05,27,1.97,27,1,High
347,3,8,28,0.98,18,2.23,13,4,High
150,1,6,7,0.22,25,2.29,40,2,Medium
300,2,12,33,0.21,37,0.93,31,3,High
86,1,11,20,0.15,25,1.89,93,3,High
311,1,12,12,0.11,4,2.91,85,2,Medium
148,1,0,1,0.19,2,0.9,69,3,Low
454,3,11,39,1.54,34,2.46,86,2,High
444,3,1,9,0.78,27,0.69,10,5,High
232,3,3,31,1.44,56,1.15,88,4,High
235,1,12,30,0.08,15,0.38,29,1,High
495,3,7,2,1.72,52,1.15,45,4,High
441,1,0,7,0.29,24,1.81,61,3,Medium
632,2,8,19,0.23,33,2.0,83,5,High
539,1,0,34,0.03,20,1.41,16,2,Medium
467,3,1,32,1.41,56,1.51,63,0,High
205,1,3,31,0.17,9,2.08,83,5,Medium
387,3,11,43,1.21,71,1.33,57,3,High
408,2,12,11,0.76,26,2.72,19,5,High
534,1,3,11,0.28,5,3.08,71,2,Low
280,1,0,2,0.17,10,1.55,28,1,Low
555,1,1,22,0.21,21,1.09,79,1,Low
538,1,5,23,0.35,26,3.37,42,1,Medium
567,2,1,4,1.03,36,3.1,22,0,Medium
144,3,0,33,0.74,55,0.71,34,2,High
200,2,11,29,0.89,39,2.86,20,1,High
412,1,2,8,0.38,16,3.69,8,1,Low
525,1,8,11,0.06,13,2.8,61,2,Medium
291,1,12,34,0.2,9,0.78,62,3,High
459,3,8,44,1.07,16,1.85,9,5,High
569,3,1,22,1.01,64,0.88,15,3,High
77,2,10,10,1.01,11,3.72,92,4,High
342,1,10,45,0.26,11,2.83,48,2,Medium
48,3,8,40,1.8,59,1.71,90,1,High
597,2,9,42,0.6,30,3.41,91,3,High
242,3,1,3,1.3,39,2.84,24,4,High
593,1,1,33,0.26,18,1.49,89,1,Medium
63,1,12,35,0.27,9,3.21,46,5,High
472,3,1,4,1.69,31,2.49,53,0,High
88,2,1,29,0.47,8,1.89,38,5,Medium
635,2,10,43,0.68,22,1.53,44,5,High
626,2,11,25,0.67,23,0.67,74,4,High
237,3,5,30,0.73,60,1.79,60,0,High
134,1,2,31,0.11,4,1.59,75,3,Medium
642,2,12,26,0.98,45,2.05,62,3,High
541,2,6,11,0.33,16,2.0,66,1,Medium
565,3,1,45,0.88,45,0.41,28,4,High
418,3,1,39,1.71,22,0.72,81,2,High
81,1,1,24,0.15,13,1.36,70,0,Low
186,1,9,27,0.04,11,3.41,35,1,Medium
540,1,8,23,0.05,3,1.76,81,2,Medium
619,1,5,25,0.22,25,3.22,24,1,Medium
556,2,12,29,0.8,17,3.33,49,0,High
459,1,6,22,0.25,23,3.42,43,5,High
130,3,11,2,1.34,65,3.0,47,4,High
166,2,1,13,1.06,42,2.32,14,4,High
574,1,7,33,0.41,5,2.6,76,1,High
59,1,3,16,0.38,28,3.41,64,0,Medium
586,2,6,38,0.24,9,1.49,31,3,High
64,3,5,25,0.93,22,3.73,77,1,Medium
332,1,4,6,0.09,15,2.68,15,4,Medium
373,1,11,4,0.15,5,1.42,60,2,Medium
304,1,1,4,0.11,26,2.39,38,3,Medium
560,2,6,8,0.44,28,1.93,60,0,High
535,1,10,15,0.41,2,1.24,83,5,High
143,1,8,42,0.36,11,2.29,65,0,Medium
552,1,2,24,0.25,7,3.04,76,3,Medium
608,1,0,30,0.43,21,1.31,29,0,Medium
101,3,7,18,1.38,68,2.68,52,5,High
257,2,8,19,0.24,42,2.27,46,0,Medium
444,2,2,36,1.1,35,1.04,72,2,High
390,2,12,29,0.45,28,1.5,66,4,High
376,1,11,9,0.3,2,2.43,8,0,Medium
217,1,11,32,0.35,19,0.58,91,5,High
119,1,10,29,0.31,13,3.7,56,4,High
406,1,12,45,0.44,5,1.92,32,3,High
49,1,0,18,0.31,24,1.55,19,4,Low
350,3,3,15,1.87,38,0.43,71,5,High
254,1,10,26,0.07,10,2.29,71,1,Medium
605,1,11,37,0.31,21,2.28,16,4,High
171,2,2,17,1.04,22,3.38,43,1,Low
63,3,11,44,1.29,31,2.68,66,0,High
477,2,10,4,0.97,28,1.81,60,2,High
164,2,7,32,0.53,10,3.39,36,0,Medium
324,3,8,29,1.01,40,0.98,18,4,High
65,3,3,45,1.15,19,3.51,33,1,Medium
377,1,10,41,0.06,17,1.81,11,4,High
382,3,3,7,1.22,36,3.21,50,4,High
282,3,12,39,1.41,63,0.63,65,4,High
167,1,0,3,0.18,24,0.53,24,0,Low
492,1,9,41,0.21,5,2.67,79,0,High
341,3,6,7,1.4,41,1.12,84,5,High
50,1,7,28,0.4,21,0.65,91,5,High
66,1,5,38,0.1,5,0.34,16,4,High
238,3,2,41,1.26,37,1.77,87,3,High
230,1,12,3,0.05,11,2.35,73,5,Medium
406,1,8,10,0.08,11,2.41,45,2,Medium
48,1,10,44,0.08,9,2.07,79,0,Medium
472,1,3,41,0.41,27,0.54,32,5,High
527,2,7,39,0.82,45,2.28,50,4,High
346,1,2,7,0.22,27,3.49,71,1,Low
43,2,11,15,0.62,21,1.14,50,5,Medium
424,1,2,1,0.18,4,1.55,79,0,Low
185,1,3,41,0.27,26,1.56,11,1,Medium
242,1,3,17,0.33,12,3.27,39,1,Low
240,1,4,7,0.03,23,0.78,91,0,Low
386,3,4,30,0.91,66,1.6,29,4,High
484,3,1,8,0.79,74,0.76,32,1,High
585,1,5,21,0.28,22,1.16,13,4,Medium
641,1,8,19,0.36,12,1.17,88,2,Medium
169,3,9,32,0.87,20,3.05,92,4,High
106,1,6,42,0.34,13,2.05,67,1,Medium
369,2,8,45,0.63,39,1.96,82,3,High
637,2,3,15,1.01,36,3.32,58,1,High
353,1,6,37,0.09,28,1.61,78,0,High
177,2,4,29,0.67,22,2.34,67,4,Medium
384,1,7,28,0.2,27,2.04,42,3,High
65,1,3,17,0.3,13,3.46,45,4,Medium
565,1,1,18,0.42,5,0.72,54,0,Low
599,1,3,44,0.16,11,2.91,95,2,Medium
235,2,2,35,1.02,8,3.0,44,2,Medium
453,3,9,42,0.62,56,2.09,27,3,High
273,1,11,14,0.22,18,2.35,78,3,Medium
512,1,1,21,0.38,15,3.0,61,1,Low
489,1,8,2,0.18,20,3.36,47,5,High
49,1,10,23,0.17,15,1.79,59,5,Medium
590,1,9,2,0.26,3,3.53,27,2,Medium
621,2,9,39,0.72,33,3.73,34,3,High
105,1,3,31,0.07,20,3.67,89,2,Medium
135,1,10,36,0.1,28,2.71,70,0,High
231,1,6,19,0.11,11,2.61,16,3,Medium
98,1,0,11,0.16,15,1.67,22,1,Low
589,1,11,5,0.19,8,0.75,34,2,Medium
482,3,10,31,0.81,51,3.59,83,1,High
554,2,7,18,0.38,17,1.86,59,4,High
292,1,9,32,0.22,20,0.44,19,2,High
507,1,11,20,0.19,28,3.13,30,3,High
295,1,9,28,0.22,23,0.94,80,0,Medium
442,2,0,16,1.0,18,1.26,88,4,Medium
338,2,1,45,0.85,21,3.48,60,4,High
164,3,1,7,1.26,64,1.44,65,1,High
298,1,0,30,0.03,22,2.73,67,3,Medium
391,2,3,26,0.23,24,0.7,25,2,Medium
515,1,1,6,0.26,9,2.8,64,1,Low
522,3,2,11,1.69,53,0.65,45,0,High
587,2,2,5,0.8,8,2.67,27,3,Medium
406,1,11,3,0.4,19,1.06,14,5,High
575,2,11,43,1.01,32,2.72,64,0,High
44,1,6,13,0.42,13,3.48,33,0,Medium
56,1,0,22,0.37,23,2.64,36,0,Low
211,2,0,27,0.66,28,1.43,88,1,Medium
252,3,6,28,0.76,28,0.67,49,1,High
55,1,5,1,0.19,16,1.07,92,2,Low
417,1,3,27,0.15,21,2.05,21,5,High
589,2,9,11,0.43,14,2.4,88,5,High
437,2,12,45,0.32,19,2.52,48,5,High
533,1,0,39,0.41,16,1.64,89,5,Medium
278,1,11,1,0.12,21,2.96,23,2,Medium
282,2,12,16,0.76,11,0.78,71,2,Medium
246,1,3,42,0.04,25,2.39,64,5,High
376,1,5,42,0.36,3,2.12,61,5,Medium
335,2,3,22,0.51,21,2.19,93,1,Low
267,2,6,34,0.49,36,2.5,16,3,High
111,3,0,41,1.89,75,1.01,19,1,High
646,1,12,14,0.12,4,1.79,67,2,Medium
208,2,3,28,0.36,23,1.36,81,3,Medium
246,1,12,31,0.05,13,1.69,29,3,High
491,1,9,28,0.35,28,3.64,69,0,High
430,1,1,20,0.28,6,2.23,30,2,Low
429,1,7,19,0.18,21,1.98,50,1,Medium
520,1,3,1,0.03,18,2.86,55,3,Medium
454,3,6,24,1.1,34,2.54,83,0,High
458,3,1,25,1.81,25,0.98,63,2,High
396,1,7,41,0.32,24,0.5,57,3,High
292,1,0,24,0.29,23,0.4,93,5,Medium
191,1,7,44,0.08,9,2.41,92,1,Medium
52,1,1,42,0.33,14,1.69,83,0,Low
570,3,6,11,1.68,31,2.72,72,4,High
431,2,11,27,0.88,13,0.68,81,2,High
186,1,3,26,0.32,2,3.75,70,0,Medium
139,1,11,27,0.25,22,1.31,63,1,Medium
220,1,11,9,0.11,7,2.06,22,3,Medium
620,3,2,13,0.68,26,3.13,32,2,Medium
458,1,9,7,0.39,7,0.58,18,3,High
167,1,5,2,0.27,17,2.0,20,0,Low
