depth_m,gassiness_degree,open_violations,days_since_last_inspection,ch4_pct,co_ppm,o2_pct,ventilation_velocity_ms,workers_count,equipment_faults,strata_stress_mpa,temp_c,humidity_pct,grahams_ratio,gas_dispersion_index,inspection_risk_factor,risk_level
251,2,1,36,1.11,14,20.0,3.8,42,0,19.44,23.1,59.4,1.556,0.292,10.29,Medium
40,1,0,34,0.13,13,20.7,2.19,47,5,18.77,28.9,59.9,6.5,0.059,4.86,Low
141,2,0,16,0.24,39,19.7,1.63,14,1,14.69,23.8,85.0,3.25,0.147,2.29,Medium
171,2,6,5,0.58,20,20.4,3.78,80,2,14.19,25.4,77.7,4.0,0.153,5.0,Medium
186,2,1,41,0.79,36,20.3,1.85,44,5,19.58,31.1,61.7,6.0,0.427,11.71,Medium
197,1,12,28,0.22,19,20.5,1.52,58,0,17.41,34.5,63.7,4.75,0.145,52.0,Medium
131,1,5,50,0.16,9,20.5,0.69,44,1,9.51,33.3,62.9,2.25,0.232,42.86,Medium
166,1,11,20,0.12,10,20.7,3.62,85,3,23.88,23.2,67.2,5.0,0.033,34.29,Medium
214,1,12,25,0.23,14,20.6,0.77,33,2,30.28,32.5,78.7,4.667,0.299,46.43,Medium
49,2,11,10,1.06,27,20.5,1.22,94,1,13.64,23.9,74.9,6.75,0.869,17.14,High
663,1,7,12,0.18,9,20.5,3.47,66,2,29.19,32.4,72.6,2.25,0.052,13.71,Medium
352,1,5,6,0.23,4,20.7,2.35,91,0,17.05,23.0,63.4,2.0,0.098,5.14,Medium
544,3,0,28,1.53,25,19.4,2.58,96,4,31.55,34.1,59.8,1.667,0.593,4.0,High
47,2,11,35,1.15,37,20.4,0.46,54,1,29.27,34.9,78.1,7.4,2.5,60.0,High
499,3,10,49,0.94,16,19.5,1.7,77,1,21.67,24.3,67.8,1.143,0.553,77.0,Medium
422,3,5,44,1.17,43,19.0,3.03,41,4,23.51,33.1,85.0,2.263,0.386,37.71,High
622,1,4,42,0.03,2,20.7,1.52,75,0,41.91,34.2,86.2,1.0,0.02,30.0,Medium
402,1,5,47,0.04,18,20.8,1.82,33,3,27.86,26.6,58.5,9.0,0.022,40.29,Medium
539,1,12,43,0.36,19,20.8,0.7,42,1,28.22,28.1,68.1,9.5,0.514,79.86,Medium
489,2,7,11,0.84,11,19.7,0.45,27,2,39.43,31.7,55.2,0.917,1.867,12.57,Medium
444,1,5,3,0.11,15,20.6,2.13,30,5,33.07,24.6,71.8,5.0,0.052,2.57,Medium
170,1,12,50,0.06,5,20.8,0.77,61,4,30.07,31.4,81.0,2.5,0.078,92.86,Medium
392,2,12,44,0.87,31,20.1,1.34,40,0,39.23,30.8,67.0,3.875,0.649,81.71,High
124,2,3,40,1.01,19,20.4,1.89,29,5,27.5,28.6,63.7,3.8,0.534,22.86,Medium
525,2,12,7,0.72,13,19.7,0.79,99,5,42.95,28.5,61.3,1.083,0.911,13.0,Medium
79,1,3,10,0.17,11,20.7,3.93,64,0,9.2,30.0,58.2,5.5,0.043,5.71,Low
267,1,7,4,0.12,13,20.7,1.21,75,3,19.14,30.4,65.7,6.5,0.099,4.57,Medium
88,1,0,4,0.25,15,20.4,3.81,94,5,14.92,26.2,65.0,3.0,0.066,0.57,Low
412,1,1,7,0.15,13,20.7,2.48,95,0,19.43,30.9,82.0,6.5,0.06,2.0,Low
659,1,10,18,0.3,5,20.3,3.88,36,4,25.61,27.0,86.1,0.833,0.077,28.29,Medium
235,1,7,7,0.31,19,20.7,0.46,19,4,23.26,30.0,65.6,9.5,0.674,8.0,Medium
236,1,11,17,0.37,4,20.6,2.24,81,2,29.12,33.6,70.7,1.333,0.165,29.14,Medium
555,2,2,39,0.16,16,20.5,1.77,45,5,42.81,34.6,65.1,4.0,0.09,16.71,Low
585,3,1,11,0.79,33,18.5,2.42,66,4,30.25,27.0,82.3,1.375,0.326,3.14,Medium
646,2,12,33,0.33,21,20.2,0.93,68,4,29.43,31.2,73.4,3.0,0.355,61.29,Medium
86,2,4,3,1.02,7,20.4,1.22,91,1,11.34,34.2,64.7,1.4,0.836,2.14,Medium
255,2,0,42,0.84,39,19.8,0.79,54,5,14.37,29.9,67.9,3.545,1.063,6.0,Medium
666,1,0,41,0.39,19,20.7,3.51,11,2,26.89,24.9,88.8,9.5,0.111,5.86,Medium
637,1,11,45,0.09,16,20.4,1.29,58,5,36.43,25.3,76.9,3.2,0.07,77.14,Medium
635,2,12,26,1.05,9,20.1,2.0,29,3,30.72,25.0,80.4,1.125,0.525,48.29,Medium
220,1,7,47,0.33,8,20.3,0.57,33,5,32.75,25.7,65.9,1.333,0.579,53.71,Medium
291,2,10,26,0.73,28,20.0,0.71,22,5,32.67,28.8,80.4,3.111,1.028,40.86,Medium
53,2,10,3,0.73,4,20.8,0.69,26,1,29.85,32.0,64.4,2.0,1.058,4.71,Medium
386,3,1,13,0.85,71,18.9,0.51,27,3,35.22,31.9,86.2,3.55,1.667,3.71,High
313,2,1,2,0.54,4,20.8,0.39,15,0,35.1,29.1,58.6,2.0,1.385,0.57,High
477,1,5,42,0.29,5,20.6,3.97,46,1,34.41,34.0,79.0,1.667,0.073,36.0,Medium
269,1,4,23,0.04,3,20.7,0.96,19,4,34.92,26.3,67.6,1.5,0.042,16.43,Medium
583,1,2,44,0.12,5,20.5,2.15,64,1,35.57,33.6,79.1,1.25,0.056,18.86,Low
417,3,12,46,0.56,28,19.4,2.97,19,0,35.09,33.2,89.2,1.867,0.189,85.43,Medium
529,3,1,37,0.63,59,19.3,2.13,64,5,43.1,25.6,58.2,3.688,0.296,10.57,High
532,2,6,39,0.5,39,20.1,2.27,91,2,41.42,23.8,88.0,4.875,0.22,39.0,Medium
585,2,3,25,0.95,18,20.5,1.17,20,4,39.26,31.3,73.4,4.5,0.812,14.29,Medium
42,1,0,24,0.15,6,20.5,0.83,81,3,8.48,34.4,87.2,1.5,0.181,3.43,Low
604,3,6,16,1.57,58,20.2,2.88,36,1,44.19,22.7,59.8,8.286,0.545,16.0,High
474,1,11,7,0.02,13,20.4,1.21,94,4,38.74,23.0,84.3,2.6,0.017,12.0,Medium
52,2,6,10,0.41,30,20.5,1.94,33,3,24.07,31.7,81.2,7.5,0.211,10.0,Medium
53,1,2,4,0.16,15,20.7,3.54,92,0,11.17,29.9,61.1,7.5,0.045,1.71,Low
607,2,4,37,1.12,37,20.0,3.82,74,2,24.94,31.2,69.8,4.111,0.293,26.43,High
256,1,0,15,0.04,16,20.6,2.71,60,1,26.92,32.7,89.2,5.333,0.015,2.14,Low
454,3,2,4,0.95,52,18.6,1.34,57,5,19.86,27.5,64.4,2.261,0.709,1.71,High
594,1,3,39,0.1,4,20.9,2.39,11,2,43.15,24.4,62.1,2.0,0.042,22.29,Low
617,3,7,3,1.65,60,19.7,1.46,16,2,44.96,23.2,65.8,5.0,1.13,3.43,High
440,2,2,45,0.63,13,19.4,3.25,96,0,29.09,26.3,86.4,0.867,0.194,19.29,Medium
528,2,0,19,1.1,18,20.7,3.29,30,1,34.22,30.9,57.8,9.0,0.334,2.71,Medium
184,2,2,33,0.57,12,19.9,1.63,76,5,29.05,29.9,73.3,1.2,0.35,14.14,Medium
481,1,11,50,0.38,20,20.7,2.14,97,3,32.59,25.1,89.9,10.0,0.178,85.71,Medium
55,1,4,36,0.07,10,20.6,1.61,21,3,29.79,23.2,66.0,3.333,0.043,25.71,Medium
112,1,12,30,0.37,5,20.9,2.11,43,3,19.41,34.7,81.7,2.5,0.175,55.71,Medium
412,3,6,27,2.01,57,18.7,1.83,89,5,36.58,23.7,67.8,2.591,1.098,27.0,High
500,1,10,3,0.23,6,20.8,1.38,89,5,35.29,22.7,82.7,3.0,0.167,4.71,Medium
202,2,1,15,0.66,33,19.6,0.97,59,3,22.29,30.7,67.2,2.538,0.68,4.29,Medium
150,3,6,50,1.39,37,20.1,2.06,65,1,17.97,27.2,57.3,4.625,0.675,50.0,High
325,2,8,10,0.73,28,19.5,3.29,70,1,14.88,30.3,66.2,2.0,0.222,12.86,Medium
480,3,3,4,1.44,20,18.8,1.31,37,0,24.48,34.4,78.9,0.952,1.099,2.29,High
123,1,11,29,0.03,15,20.5,3.09,63,4,13.49,24.8,86.3,3.75,0.01,49.71,Medium
208,1,6,31,0.15,20,20.5,0.34,70,4,27.92,31.0,60.6,5.0,0.441,31.0,Medium
651,1,11,43,0.3,12,20.3,3.62,84,4,42.04,23.9,78.2,2.0,0.083,73.71,Medium
191,2,5,8,1.09,12,20.4,2.66,96,3,34.49,25.4,80.3,2.4,0.41,6.86,Medium
632,1,3,48,0.09,8,20.9,3.9,34,3,36.22,31.1,82.1,4.0,0.023,27.43,Low
630,3,5,24,1.56,68,19.5,1.6,12,2,42.58,33.7,72.6,4.857,0.975,20.57,High
595,1,12,22,0.07,15,20.5,3.43,24,1,34.14,28.0,68.1,3.75,0.02,40.86,Medium
487,2,11,40,0.75,30,19.6,3.07,22,0,33.77,32.5,58.6,2.308,0.244,68.57,High
678,3,1,41,1.06,38,20.3,2.34,66,4,29.91,29.6,56.1,6.333,0.453,11.71,High
157,1,7,8,0.3,2,20.9,3.19,54,3,26.82,27.4,83.7,1.0,0.094,9.14,Medium
559,1,10,17,0.02,2,20.4,1.69,49,3,41.79,30.8,55.1,0.4,0.012,26.71,Medium
571,3,9,21,2.05,34,19.9,1.76,52,1,26.08,34.5,89.7,3.4,1.165,30.0,High
92,3,9,28,0.87,30,19.5,0.67,26,5,17.97,27.1,80.5,2.143,1.299,40.0,High
169,2,10,37,0.44,9,19.5,1.92,60,5,14.04,33.9,84.3,0.643,0.229,58.14,Medium
647,1,9,46,0.39,13,20.4,2.71,79,0,39.8,29.4,55.9,2.6,0.144,65.71,Medium
267,1,8,16,0.25,20,20.8,0.71,58,2,35.11,30.6,64.6,10.0,0.352,20.57,Medium
650,1,2,19,0.34,14,20.4,3.24,43,1,30.92,23.2,72.3,2.8,0.105,8.14,Low
463,1,10,5,0.19,7,20.4,0.34,36,5,32.78,27.5,86.1,1.4,0.559,7.86,Medium
222,2,10,39,0.74,38,19.4,2.23,14,0,23.16,34.7,89.8,2.533,0.332,61.29,High
300,3,3,39,1.86,24,20.6,0.41,13,4,17.16,22.3,72.9,8.0,4.537,22.29,High
181,1,11,45,0.29,11,20.6,3.29,26,2,12.73,25.6,62.0,3.667,0.088,77.14,Medium
486,2,6,13,1.11,10,20.3,3.14,42,1,35.37,24.6,84.6,1.667,0.354,13.0,Medium
359,1,3,47,0.33,5,20.7,1.89,72,3,32.9,33.5,69.8,2.5,0.175,26.86,Low
620,1,10,5,0.17,18,20.5,0.41,67,1,27.57,33.6,88.5,4.5,0.415,7.86,Medium
224,3,6,12,1.7,25,18.5,2.85,55,1,20.53,22.9,78.0,1.042,0.596,12.0,High
376,1,9,21,0.09,19,20.5,2.55,39,4,20.49,22.9,64.9,4.75,0.035,30.0,Medium
116,2,10,27,0.94,35,19.5,1.32,97,3,13.63,26.1,66.2,2.5,0.712,42.43,High
162,1,2,39,0.26,20,20.9,3.67,51,4,16.89,27.0,75.2,10.0,0.071,16.71,Medium
331,1,6,3,0.05,15,20.7,1.32,78,4,15.94,22.5,77.6,7.5,0.038,3.0,Medium
394,1,8,50,0.19,5,20.8,3.77,50,3,32.56,30.0,68.8,2.5,0.05,64.29,Medium
145,1,0,1,0.1,4,20.4,3.64,27,0,27.01,34.9,85.1,0.8,0.027,0.14,Low
417,3,8,1,2.0,19,19.1,2.85,98,0,19.08,25.4,82.5,1.056,0.702,1.29,High
428,1,2,9,0.24,15,20.7,2.77,84,3,20.25,23.6,66.2,7.5,0.087,3.86,Low
574,2,9,31,0.34,20,20.5,2.93,94,3,37.89,34.7,66.3,5.0,0.116,44.29,Medium
401,2,3,43,0.62,17,19.4,1.1,92,5,17.83,33.1,79.3,1.133,0.564,24.57,Medium
434,1,1,22,0.38,16,20.7,3.44,36,4,24.37,31.9,73.0,8.0,0.11,6.29,Low
148,3,3,24,0.64,45,19.5,2.84,59,3,28.42,33.3,73.0,3.214,0.225,13.71,High
631,2,2,30,0.38,34,20.4,1.97,23,5,32.84,23.4,55.6,6.8,0.193,12.86,Medium
311,1,8,6,0.14,16,20.5,0.66,55,3,24.12,24.8,68.9,4.0,0.212,7.71,Medium
431,2,6,13,0.62,31,19.6,0.48,47,1,29.48,27.2,75.8,2.385,1.292,13.0,Medium
294,3,3,8,0.8,61,19.4,0.67,16,0,26.12,29.5,63.4,4.067,1.194,4.57,High
314,2,2,14,0.2,36,20.8,2.6,54,5,31.46,25.7,75.9,18.0,0.077,6.0,Medium
352,3,11,16,1.12,11,20.0,1.88,31,2,22.77,30.9,60.8,1.222,0.596,27.43,Medium
61,1,4,5,0.19,2,20.6,1.22,31,5,15.98,31.9,55.3,0.667,0.156,3.57,Medium
152,1,0,37,0.07,5,20.4,3.27,97,2,13.82,32.9,73.4,1.0,0.021,5.29,Low
383,2,11,23,0.97,23,20.5,3.6,79,2,26.59,30.6,63.9,5.75,0.269,39.43,High
650,2,4,44,0.33,13,19.9,0.41,76,5,32.1,30.3,60.2,1.3,0.805,31.43,High
631,2,6,24,0.21,21,20.7,2.81,36,5,30.84,23.2,87.2,10.5,0.075,24.0,Medium
500,3,8,12,2.0,45,19.2,0.45,43,5,32.64,26.5,66.6,2.647,4.444,15.43,High
572,2,9,8,0.22,4,20.1,2.84,65,3,28.63,29.4,82.7,0.5,0.077,11.43,Medium
517,2,8,19,0.94,4,20.1,1.1,89,4,25.84,30.6,65.6,0.5,0.855,24.43,Medium
647,1,7,20,0.06,11,20.8,2.16,10,3,23.37,26.6,84.2,5.5,0.028,22.86,Medium
614,1,1,46,0.04,9,20.3,3.75,44,1,35.4,34.9,61.9,1.5,0.011,13.14,Low
294,3,10,25,0.84,49,18.9,1.91,64,3,19.62,34.6,58.4,2.45,0.44,39.29,High
370,3,2,44,0.45,69,19.8,1.69,35,2,22.48,23.8,74.4,6.273,0.266,18.86,High
487,1,8,29,0.15,16,20.6,1.82,98,2,26.76,28.5,79.0,5.333,0.082,37.29,Medium
68,3,0,50,0.74,75,19.4,2.6,63,0,14.96,31.8,76.5,5.0,0.285,7.14,High
619,3,0,49,1.87,68,20.4,0.61,60,1,40.85,27.2,55.2,13.6,3.066,7.0,High
316,3,10,7,0.9,17,18.8,2.46,52,4,25.46,23.3,65.2,0.81,0.366,11.0,Medium
563,2,0,45,0.33,13,19.9,1.45,36,4,31.96,23.9,80.9,1.3,0.228,6.43,Low
46,3,9,45,1.24,41,19.0,2.05,35,0,28.27,22.9,60.4,2.158,0.605,64.29,High
557,1,0,8,0.34,10,20.8,2.82,48,3,25.56,28.3,61.4,5.0,0.121,1.14,Low
671,1,2,41,0.21,19,20.4,2.08,12,1,28.55,23.8,81.1,3.8,0.101,17.57,Medium
336,2,9,32,0.59,31,19.6,1.35,57,5,33.6,25.6,68.5,2.385,0.437,45.71,Medium
163,2,0,38,0.14,26,20.8,2.03,48,0,24.95,30.4,86.3,13.0,0.069,5.43,Medium
509,1,2,23,0.21,7,20.7,1.6,74,4,31.33,24.7,86.6,3.5,0.131,9.86,Low
616,1,11,9,0.26,14,20.9,2.54,45,5,43.39,25.9,68.8,7.0,0.102,15.43,Medium
224,2,8,50,0.71,29,19.5,0.41,94,4,25.73,25.4,79.4,2.071,1.732,64.29,High
202,1,10,7,0.33,9,20.4,3.56,73,5,34.6,28.2,81.6,1.8,0.093,11.0,Medium
433,2,6,5,0.56,27,20.3,3.41,17,4,34.82,25.3,56.3,4.5,0.164,5.0,Medium
218,1,11,29,0.11,16,20.7,1.13,58,1,16.24,34.9,75.1,8.0,0.097,49.71,Medium
205,1,8,13,0.02,6,20.8,1.63,21,4,13.43,22.3,88.6,3.0,0.012,16.71,Medium
457,2,1,22,0.62,17,20.3,2.05,33,5,32.84,31.5,86.9,2.833,0.302,6.29,Medium
400,1,8,9,0.04,18,20.5,0.74,18,3,17.7,27.6,68.2,4.5,0.054,11.57,Medium
276,1,8,22,0.16,13,20.3,3.52,12,1,32.78,32.7,65.1,2.167,0.045,28.29,Medium
334,1,9,16,0.28,5,20.6,3.77,76,4,15.71,28.5,69.0,1.667,0.074,22.86,Medium
309,2,0,22,0.31,25,20.8,2.75,63,2,15.15,24.6,86.1,12.5,0.113,3.14,Medium
103,1,1,37,0.04,15,20.7,2.57,88,5,16.88,32.9,83.3,7.5,0.016,10.57,Low
122,3,7,9,1.47,65,19.6,3.19,44,5,21.23,22.5,56.2,5.0,0.461,10.29,High
273,1,0,2,0.02,17,20.3,3.13,35,4,29.23,29.9,68.3,2.833,0.006,0.29,Low
168,1,6,36,0.15,8,20.5,3.7,27,0,33.78,27.7,86.4,2.0,0.041,36.0,Medium
283,1,9,1,0.23,2,20.8,1.22,39,3,32.11,31.7,86.1,1.0,0.189,1.43,Medium
98,1,2,29,0.11,11,20.4,1.77,33,2,24.18,22.6,67.2,2.2,0.062,12.43,Low
165,2,1,17,1.06,18,20.1,1.42,79,1,18.69,28.4,80.7,2.25,0.746,4.86,Medium
415,2,4,42,0.21,26,20.8,2.91,41,4,29.37,33.6,66.2,13.0,0.072,30.0,Medium
676,2,1,14,0.49,13,19.5,1.17,27,4,27.96,25.0,81.0,0.929,0.419,4.0,Low
490,2,7,8,0.42,9,19.5,3.46,12,3,32.37,32.9,64.5,0.643,0.121,9.14,Medium
433,2,6,25,0.66,23,19.4,3.12,66,0,32.66,24.9,68.3,1.533,0.212,25.0,Medium
66,3,12,22,1.42,64,20.3,3.74,43,4,25.07,24.8,56.0,10.667,0.38,40.86,High
98,3,8,25,1.33,43,18.9,1.71,96,2,19.57,33.2,87.8,2.15,0.778,32.14,High
283,1,0,18,0.14,14,20.3,1.31,97,2,26.1,23.1,63.7,2.333,0.107,2.57,Low
315,2,12,42,0.38,15,20.1,0.36,87,0,21.58,23.6,74.9,1.875,1.056,78.0,High
49,2,5,31,0.39,39,19.9,0.54,91,4,29.76,24.8,57.1,3.9,0.722,26.57,Medium
224,1,12,18,0.25,3,20.4,2.72,43,3,15.13,23.7,77.1,0.6,0.092,33.43,Medium
228,2,7,38,1.14,20,19.4,3.43,50,0,34.54,29.2,63.0,1.333,0.332,43.43,High
401,2,0,39,0.18,17,19.9,1.67,40,2,18.74,23.4,72.7,1.7,0.108,5.57,Low
465,1,6,19,0.17,13,20.6,3.9,28,0,25.66,26.2,82.6,4.333,0.044,19.0,Medium
676,1,5,3,0.33,18,20.7,3.05,47,1,37.52,33.9,55.9,9.0,0.108,2.57,Medium
635,2,3,25,0.78,8,20.8,3.97,84,0,40.18,30.5,60.3,4.0,0.196,14.29,Medium
618,2,9,41,0.65,7,20.3,2.74,80,5,41.79,27.4,80.7,1.167,0.237,58.57,Medium
572,1,4,13,0.39,9,20.6,3.07,83,2,39.48,33.8,66.5,3.0,0.127,9.29,Medium
158,2,7,47,0.48,34,20.3,1.96,62,2,11.78,23.0,74.6,5.667,0.245,53.71,Medium
468,1,2,35,0.32,12,20.5,0.6,41,3,32.23,30.8,78.3,3.0,0.533,15.0,Medium
471,2,2,37,0.58,14,19.6,1.27,73,5,22.09,33.5,61.9,1.077,0.457,15.86,Medium
607,2,7,48,0.28,8,19.6,3.51,22,1,21.75,33.3,84.2,0.615,0.08,54.86,Medium
437,3,5,9,1.92,53,19.9,2.58,61,5,19.78,29.2,79.9,5.3,0.744,7.71,High
86,1,5,29,0.2,6,20.7,2.98,62,5,15.09,27.8,84.2,3.0,0.067,24.86,Medium
643,3,8,6,0.98,66,18.9,2.97,29,0,37.66,29.7,67.9,3.3,0.33,7.71,High
326,3,1,15,1.34,64,19.2,1.72,48,3,35.69,26.4,74.7,3.765,0.779,4.29,High
222,3,0,48,0.48,46,18.9,1.37,36,3,26.32,28.7,75.1,2.3,0.35,6.86,High
538,1,2,19,0.06,8,20.6,2.18,43,4,35.44,31.8,87.4,2.667,0.028,8.14,Low
212,1,0,35,0.09,20,20.6,1.95,78,1,11.92,22.1,84.1,6.667,0.046,5.0,Medium
169,3,4,8,1.86,45,20.2,0.73,100,0,16.54,27.8,70.1,6.429,2.548,5.71,High
402,3,11,15,1.62,19,20.1,1.46,19,2,26.93,24.0,66.7,2.375,1.11,25.71,High
79,1,11,34,0.02,2,20.4,2.47,50,1,29.04,32.9,78.1,0.4,0.008,58.29,Medium
265,2,4,31,0.31,9,20.8,3.47,29,3,19.41,32.6,80.7,4.5,0.089,22.14,Medium
259,1,1,32,0.11,14,20.7,1.17,81,4,22.51,24.7,61.2,7.0,0.094,9.14,Low
397,2,10,12,0.76,26,20.2,1.39,48,1,27.69,33.4,78.4,3.714,0.547,18.86,Medium
264,1,12,49,0.06,16,20.9,2.74,46,3,28.5,34.6,66.4,8.0,0.022,91.0,Medium
395,2,11,9,0.38,17,20.7,3.2,71,3,16.57,29.8,79.1,8.5,0.119,15.43,Medium
102,2,5,17,0.37,7,19.8,2.99,96,2,18.75,27.3,83.3,0.636,0.124,14.57,Medium
387,2,0,20,0.92,11,20.8,2.57,67,3,28.54,24.9,85.6,5.5,0.358,2.86,Medium
377,1,8,2,0.31,19,20.3,0.48,12,3,37.32,23.2,79.7,3.167,0.646,2.57,Medium
255,1,3,11,0.37,12,20.5,2.35,78,3,31.61,33.2,63.0,3.0,0.157,6.29,Low
294,3,0,2,0.81,13,19.0,3.16,77,0,14.36,28.5,82.7,0.684,0.256,0.29,Medium
293,1,11,8,0.35,4,20.3,2.97,58,5,34.36,27.2,83.6,0.667,0.118,13.71,Medium
465,1,11,35,0.33,11,20.8,1.87,87,1,27.01,23.2,75.6,5.5,0.176,60.0,Medium
63,1,7,13,0.18,9,20.9,2.38,22,2,16.61,34.6,75.2,4.5,0.076,14.86,Medium
534,1,11,35,0.38,19,20.7,1.97,74,1,36.81,27.0,89.8,9.5,0.193,60.0,Medium
631,3,6,50,0.9,20,18.7,0.93,39,3,37.2,26.8,74.7,0.909,0.968,50.0,Medium
541,2,1,10,0.9,7,20.6,1.23,61,4,39.68,32.9,73.3,2.333,0.732,2.86,Medium
358,2,2,3,0.82,39,20.6,2.32,51,5,15.08,29.3,69.2,13.0,0.353,1.29,Medium
360,3,3,21,1.62,23,19.5,0.59,69,5,32.75,28.3,74.4,1.643,2.746,12.0,High
170,2,2,34,1.03,35,19.7,3.27,25,1,12.98,24.6,85.4,2.917,0.315,14.57,High
538,1,8,27,0.37,10,20.6,2.58,61,0,26.51,25.9,70.2,3.333,0.143,34.71,Medium
420,2,2,10,0.49,20,20.1,1.08,47,4,39.35,30.9,83.1,2.5,0.454,4.29,Medium
378,3,11,9,0.62,70,18.7,3.91,31,4,23.07,31.3,71.6,3.182,0.159,15.43,High
359,2,3,45,0.72,8,19.9,2.37,22,4,29.97,28.0,58.3,0.8,0.304,25.71,Medium
271,1,0,13,0.13,14,20.9,2.38,45,2,26.8,32.7,85.4,7.0,0.055,1.86,Low
247,1,2,7,0.21,14,20.5,3.16,37,2,15.22,24.3,74.7,3.5,0.066,3.0,Low
646,2,12,48,0.34,17,19.5,3.27,88,5,22.21,33.8,62.3,1.214,0.104,89.14,Medium
190,1,7,1,0.18,17,20.5,2.15,51,0,23.03,33.6,56.8,4.25,0.084,1.14,Medium
160,1,6,25,0.22,8,20.9,3.8,59,5,22.53,28.2,65.9,4.0,0.058,25.0,Medium
324,2,6,36,1.04,26,19.7,3.5,66,3,16.99,31.0,63.8,2.167,0.297,36.0,High
517,2,5,47,0.3,27,19.7,3.07,64,1,41.02,30.0,85.7,2.25,0.098,40.29,Medium
50,1,5,34,0.37,18,20.9,2.55,34,0,29.11,29.6,66.5,9.0,0.145,29.14,Medium
74,2,10,31,0.16,40,20.6,3.49,60,0,14.43,34.9,79.6,13.333,0.046,48.71,Medium
522,3,10,30,1.75,14,19.3,2.57,72,1,37.06,28.2,85.6,0.875,0.681,47.14,High
196,2,2,9,0.85,24,19.5,2.31,20,3,21.54,32.8,59.2,1.714,0.368,3.86,Medium
238,2,11,2,1.05,27,20.2,3.78,52,5,28.97,33.0,66.1,3.857,0.278,3.43,High
452,1,10,43,0.11,7,20.6,1.32,17,0,20.84,24.5,81.6,2.333,0.083,67.57,Medium
243,2,6,12,0.69,11,19.9,2.4,91,5,19.54,32.9,87.9,1.1,0.287,12.0,Medium
128,2,7,6,0.76,5,20.6,3.22,24,0,16.82,24.4,58.0,1.667,0.236,6.86,Medium
262,2,7,6,0.3,12,19.9,1.7,41,2,34.19,32.9,77.5,1.2,0.176,6.86,Medium
333,1,2,37,0.08,11,20.5,1.93,50,3,35.53,24.9,61.6,2.75,0.041,15.86,Low
134,2,9,24,0.28,28,19.6,2.4,54,5,25.84,28.8,84.0,2.154,0.117,34.29,Medium
484,1,12,44,0.3,10,20.4,3.16,46,1,31.34,26.4,88.9,2.0,0.095,81.71,Medium
304,1,4,3,0.24,13,20.6,2.74,24,4,16.96,30.6,61.5,4.333,0.088,2.14,Medium
74,1,1,41,0.36,7,20.8,1.43,55,0,15.93,24.1,71.6,3.5,0.252,11.71,Low
518,2,12,2,0.52,19,19.8,1.68,66,4,29.39,27.9,75.2,1.727,0.31,3.71,Medium
385,2,6,20,0.54,21,20.8,1.78,15,1,27.79,31.9,86.5,10.5,0.303,20.0,Medium
69,1,2,20,0.3,6,20.7,3.22,86,5,31.06,34.3,61.9,3.0,0.093,8.57,Low
95,3,4,50,0.57,32,19.2,0.6,28,2,8.4,28.0,60.8,1.882,0.95,35.71,Medium
281,3,6,6,1.16,54,18.7,2.33,41,1,22.01,30.9,84.6,2.455,0.498,6.0,High
443,2,7,43,0.23,12,20.0,1.51,58,3,19.37,31.2,81.7,1.333,0.152,49.14,Medium
329,3,11,28,2.05,13,19.0,2.55,86,3,30.3,28.9,67.1,0.684,0.804,48.0,High
280,1,5,33,0.1,17,20.4,1.08,10,4,14.85,29.8,68.9,3.4,0.093,28.29,Medium
485,1,6,42,0.2,10,20.9,1.86,33,3,34.33,24.0,65.9,5.0,0.108,42.0,Medium
207,1,8,7,0.17,2,20.4,0.78,69,0,26.92,26.5,80.6,0.4,0.218,9.0,Medium
559,1,7,1,0.13,10,20.7,0.73,72,5,38.49,34.5,69.1,5.0,0.178,1.14,Medium
501,2,12,31,0.55,28,20.7,0.6,52,4,22.82,34.6,58.9,14.0,0.917,57.57,Medium
47,1,11,38,0.18,16,20.5,0.75,43,1,28.11,28.7,76.5,4.0,0.24,65.14,Medium
541,2,0,39,0.96,38,19.8,1.38,97,2,26.63,25.3,66.8,3.455,0.696,5.57,High
467,1,5,20,0.3,9,20.4,2.28,91,0,18.55,29.7,67.5,1.8,0.132,17.14,Medium
169,2,10,32,1.06,37,20.3,0.45,65,2,25.04,26.5,71.0,6.167,2.356,50.29,High
374,1,2,39,0.37,11,20.6,0.38,91,0,17.24,27.0,89.3,3.667,0.974,16.71,Medium
303,2,11,6,0.75,38,20.7,1.2,65,0,37.45,32.3,75.0,19.0,0.625,10.29,High
90,1,7,14,0.27,14,20.8,2.81,65,2,14.89,31.7,82.2,7.0,0.096,16.0,Medium
319,1,3,2,0.39,12,20.4,1.13,63,5,28.35,23.7,64.3,2.4,0.345,1.14,Low
372,1,9,19,0.16,19,20.3,1.56,87,3,23.19,29.6,77.2,3.167,0.103,27.14,Medium
394,3,2,30,1.03,20,20.0,2.38,73,1,25.21,28.9,61.0,2.222,0.433,12.86,Medium
393,1,11,34,0.02,20,20.4,1.6,57,2,32.01,25.8,66.0,4.0,0.012,58.29,Medium
481,1,12,2,0.22,14,20.7,3.44,46,4,27.03,31.7,89.6,7.0,0.064,3.71,Medium
139,1,3,8,0.3,14,20.6,1.6,83,2,28.14,24.3,60.6,4.667,0.187,4.57,Low
262,1,9,18,0.26,12,20.6,2.27,50,2,29.03,30.2,78.2,4.0,0.115,25.71,Medium
